Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
RE Sugar,CÔNG TY TNHH LEGENDARY VIỆT NAM,30.16197875,3.1333333333333333
RE Sugar,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI ĐÔNG ANH,53.72932395,2.683333333333333
RS Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF - NHÀ MÁY SỮA LOF BÌNH DƯƠNG,70.18355295,754.6166666666667
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,466.683516,753.0333333333333
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,497.9494173,1472.65
"Functional Sugar, Monorock, Coconut Cooking Cream, RE Sugar",CÔNG TY TNHH PHÂN PHỐI AN KHÁNH,32.61975991,2216.9666666666667
RE Sugar,,422.3103149,1474.1166666666666
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,422.7177366,753.65
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,2522.451244,-1285.9166666666667
"Juice, Brown Sugar, Bar Sugar, Diet Sugar, Coconut Cooking Cream, Sugarcane Drinking Water, Monorock, RS Sugar, Functional Sugar, Organic Sugar",CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ NGUYÊN THỦY,164.0072321,18.25
RE Sugar,CÔNG TY TNHH RED BULL (VIỆT NAM),114.4655556,730.5166666666667
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,428.4001268,1477.8333333333333
RE Sugar,CÔNG TY CỔ PHẦN ACECOOK VIỆT NAM,5117.286952,-1737.2666666666667
"Mineral water, Juice, Monorock, Functional Sugar, Brown Sugar, Bar Sugar, RE Sugar, RS Sugar, Sugarcane Drinking Water, Organic Sugar","CÔNG TY TNHH DU LỊCH TTC, LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM, CÔNG TY TNHH CJ CGV VIỆT NAM - CHI NHÁNH TUY HÒA",266.7802869,1475.3333333333333
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,140.9234733,730.6666666666666
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,410.0826962,731.4166666666666
RE Sugar,,663.31068,-1928.3666666666666
RE Sugar,,3046.223932,-1932.5166666666667
"RE Sugar (IM), RS Sugar","CÔNG TY CỔ PHẦN GIA NHẤT HB, CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI SBT",174.2701856,1473.2666666666667
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,508.8736489,1479.9666666666667
"RS Sugar, RE Sugar",,30.24648324,732.0833333333334
Brown Sugar,CÔNG TY AJINOMOTO VIỆT NAM,18.17434978,14.333333333333334
RE Sugar,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,442.0844755,729.4166666666666
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM VÀ NƯỚC GIẢI KHÁT NAM VIỆT,48.4809437,15.483333333333333
RE Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,48.16660364,15.7
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,427.7393957,728.6
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,108.0902116,730.6666666666666
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,97.28918348,734.0
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,95.42192177,730.4833333333333
RS Sugar,,0.280410799,4.0
RS Sugar,,0.472096742,4.0
RE Sugar,,1110.362599,-1928.3666666666666
RE Sugar,,974.8705593,-1928.3833333333334
"Juice, Sugarcane Drinking Water, Functional Sugar, RE Sugar, Brown Sugar, Coconut Cooking Cream, Monorock",CÔNG TY TNHH PHÚ PHONG.BH,48.36896164,7.816666666666666
RE Sugar,TRUNG TÂM PHÂN PHỐI SATRA,16.46181328,2.45
"RE Sugar, Monorock, Sugarcane Drinking Water, Brown Sugar, RS Sugar",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HUY HÀ FOODS,19.38726649,2.9
"RS Sugar, Mineral water, Drinking Water","CÔNG TY CỔ PHẦN DU LỊCH THANH BÌNH, CÔNG TY TNHH ĐẦU TƯ TRƯỜNG LƯU PHÚC",36.26011203,5.05
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,115.865636,723.05
RS Sugar,CÔNG TY TNHH MTV MASAN HG,784.1080045,-2753.633333333333
"RE Sugar, Juice, Diet Sugar, Monorock, Brown Sugar, RS Sugar, Coconut Cooking Cream",CÔNG TY TNHH DẦU ĂN NGUYÊN PHÁT,12.56843198,16.283333333333335
"Functional Sugar, Coconut Cooking Cream, Juice, Monorock, Caramelized, RS Sugar",CÔNG TY TNHH PHÂN PHỐI THƯƠNG MẠI THÁI TUẤN,45.24000843,754.8833333333333
"RS Sugar, Brown Sugar, Juice, RE Sugar, Natural Rock, Coconut Cooking Cream","CÔNG TY TNHH THỰC PHẨM & ĐỒ UỐNG AN PHÁT, CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM",23.45633923,11.883333333333333
"Caramelized, RE Sugar, Brown Sugar, Functional Sugar, Organic Sugar, RS Sugar, Monorock, Invert Syrup, Natural Rock",CÔNG TY TNHH DỊCH VỤ EB,1340.13995,-2557.516666666667
RS Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF - NHÀ MÁY SỮA LOF HÀ NỘI,1325.535546,-2680.0333333333333
RE Sugar,,404.1810213,765.2666666666667
RE Sugar,,433.487702,-2721.4333333333334
RE Sugar,CÔNG TY TNHH BÁNH VÀNG,48.12373483,756.3333333333334
